Name,Adjective,Mod ID,Versions,Category,Prim,Sec,Tert,Dur,iCost,iGain,magic,tlevel,teff,tint,textures,item,effects,improvements,reqTools
Fiery Metal,Fiery,twilightforest,"16, 18, 19",metal,7,4,3,1024,2,5,60,ToolLevel.FIVE,9,dc7404,"metal, default",fiery_ingot,eff fierySelf 3 0.1,imp enchantment/fire_aspect 1 0,"hammer 3, axe 0, cut 0"
Fire Dragonsteel,Fire Dragonsteel,iceandfire,"16, 18, 19",metal,24,3.4,4,8000,2,10,60,ToolLevel.SIX,10,c09396,"metal, default",dragonsteel_fire_ingot,,,"hammer 6, axe 0, cut 0"
Ice Dragonsteel,Ice Dragonsteel,iceandfire,"16, 18, 19",metal,24,3.4,4,8000,2,10,60,ToolLevel.SIX,10,aed4ea,"metal, default",dragonsteel_ice_ingot,,,"hammer 6, axe 0, cut 0"
Ironwood,Ironwood,twilightforest,"16, 18, 19",metal,5,3.8,3,512,2,5,150,ToolLevel.THREE,6.5,979283,"metal, default",ironwood_ingot,,"imp ironwood_innate_efficiency 1 0, imp ironwood_innate_unbreaking 1 0, imp ironwood_innate_fortune 1 0, imp ironwood_innate_knockback 1 0","hammer 2, axe 0, cut 0"
Knightmetal,Knightly,twilightforest,"16, 18, 19",metal,6,2.9,3.5,512,2,6,48,ToolLevel.FOUR,8,748b77,"metal, default",knightmetal_ingot,eff armorPenetration 2 0,,"hammer 3, axe 0, cut 0"
Lightning Dragonsteel,Lightning Dragonsteel,iceandfire,"16, 18, 19",metal,24,3.4,4,8000,2,10,60,ToolLevel.SIX,10,856fb5,"metal, default",dragonsteel_lightning_ingot,,,"hammer 6, axe 0, cut 0"
Nebu,Nebu,atum,"16, 18, 19",metal,7,3.5,4.5,2250,2,12,132,ToolLevel.FIVE,9,d19607,"shiny, metal, default",nebu_ingot,,,"hammer 5, axe 0, cut 0"
Pendorite,Pendorite,byg,16,metal,8,5,3,2500,2,6,90,ToolLevel.SIX,9.5,723770,"metal, default",pendorite_scraps,,,"hammer 5, axe 0, cut 0"
Platinum,Platinum,wyrmroost,"16, 18, 19",metal,5,4.8,1,645,2,1,114,ToolLevel.FOUR,5.5,dedede,"metal, default",platinum_ingot,,,"hammer 2, axe 0, cut 0"
Refined Radiance,Refined Radiance,create,"16, 18, 19",metal,5.8,2.8,3.5,876,2,6,124,ToolLevel.FOUR,7,ffffff,"metal, default",refined_radiance,eff stabilizing 8 0,,"hammer 4, axe 0, cut 0"
NAMELESS,PREFIXLESS,create,16,metal,6.2,3.5,2.1,1365,2,5,99,ToolLevel.FOUR,8,5d5164,"metal, default",shadow_steel,eff stabilizing 8 0,,"hammer 4, axe 0, cut 0"
Steeleaf,Steeleaf,twilightforest,"16, 18, 19",metal,6,2.5,3,131,2,4,54,ToolLevel.FOUR,8,385e2b,"metal, default",steeleaf_ingot,,"imp steeleaf_innate_efficiency 1 0, imp steeleaf_innate_efficiency_two 2 0, imp steeleaf_innate_looting 2 0, imp steeleaf_innate_fortune 1 0","hammer 3, axe 0, cut 0"
Terminite,Terminite,betterendforge,"16, 18, 19",metal,6,3,3.5,1230,2,5,84,ToolLevel.FOUR,8.5,7aada6,"metal, default",terminite_ingot,,,"hammer 3, axe 0, cut 0"
Thallasium,Thallasium,betterendforge,"16, 18, 19",metal,4.5,3.6,2.8,320,2,5,72,ToolLevel.THREE,7,98e3d8,"metal, default",thallasium_ingot,,,"hammer 2, axe 0, cut 0"
Tungsten,Tungsten,stalwart_dungeons,16,metal,7,4.5,3.5,750,2,10,12,ToolLevel.FOUR,11,aadb74,"metal, default",tungsten_ingot,,,"hammer 5, axe 0, cut 0"
Drake Plate,Drake Plate,wyrmroost,16,scale,6,3.2,2,360,2,5,54,ToolLevel.ZERO,0,3c5d45,"crude, default",drake_backplate,,,"hammer 0, axe 0, cut 3"
Naga Scale,Naga Scale,twilightforest,"16, 18, 19",scale,6,0.6,2,450,1,5,108,ToolLevel.ZERO,0,3c5d45,"crude, default",naga_scale,,,"hammer 0, axe 0, cut 3"
Alabaster,Alabaster,atum,"16, 18, 19",stone,3,3.5,0,200,1,4,90,ToolLevel.TWO,4,efe3d1,"grainy, crude, default",alabaster,,,"hammer 1, axe 0, cut 0"
Azure Jadestone,Azure Jadestone,betterendforge,"16, 18, 19",stone,4,3.8,0,2100,2,4,102,ToolLevel.TWO,4,396e67,"grainy, crude, default",azure_jadestone,,,"hammer 5, axe 0, cut 0"
Dacite,Dacite,byg,"16, 18, 19",stone,4,3.5,0,180,1,4,90,ToolLevel.TWO,4.5,bab1a9,"grainy, crude, default",dacite,,,"hammer 1, axe 0, cut 0"
Dark Scoria,Dark Scoria,create,"16, 18, 19",stone,3.5,2.4,0,100,1,4,102,ToolLevel.TWO,4,712f25,"grainy, crude, default",dark_scoria,,,"hammer 1, axe 0, cut 0"
Dolomite,Dolomite,create,"16, 18, 19",stone,4.2,3.5,0,100,1,4,90,ToolLevel.TWO,4,908b77,"grainy, crude, default",dolomite,,,"hammer 1, axe 0, cut 0"
Eternal Flavolite,Eternal Flavolite,betterendforge,"16, 18, 19",stone,4,4,0,24576,1,4,90,ToolLevel.TWO,4,bfa175,"grainy, crude, default",flavolite_runed_eternal,,,"hammer 6, axe 0, cut 0"
Flavolite,Flavolite,betterendforge,"16, 18, 19",stone,4,4,0,1561,1,4,90,ToolLevel.TWO,4,d4c098,"grainy, crude, default",flavolite,,,"hammer 5, axe 0, cut 0"
Gabbro,Gabbro,unearthed,"16, 18, 19",stone,4,3.8,0,180,2,3,90,ToolLevel.TWO,4.5,979795,"grainy, crude, default",gabbro,,,"hammer 1, axe 0, cut 0"
Gabbro,Gabbro,create,"16, 18, 19",stone,4,3.8,0,180,2,3,90,ToolLevel.TWO,4.5,979795,"grainy, crude, default",gabbro,,,"hammer 1, axe 0, cut 0"
Jasper,Jasper,quark,"16, 18, 19",stone,4.7,3,0,150,1,3,90,ToolLevel.TWO,5,6a3e32,"grainy, crude, default",jasper,,,"hammer 2, axe 0, cut 0"
Khnumite,Stoneguard,atum,"16, 18, 19",stone,4.1,3.5,0,160,1,4,60,ToolLevel.TWO,6,998b59,"grainy, crude, default",khnumite,,imp brutal 0 0,"hammer 1, axe 0, cut 0"
Kimberlite,Kimberlite,unearthed,"16, 18, 19",stone,4,3.5,0,180,1,4,90,ToolLevel.TWO,4.5,4c5835,"grainy, crude, default",kimberlite,,,"hammer 1, axe 0, cut 0"
Limestone,Limestone,quark,"16, 18, 19",stone,4.2,3.5,0,100,1,4,90,ToolLevel.TWO,4,908b77,"grainy, crude, default",limestone,,,"hammer 1, axe 0, cut 0"
Limestone,Limestone,atum,"16, 18, 19",stone,4,3.5,0,131,1,4,36,ToolLevel.TWO,4,c6a886,"grainy, crude, default",limestone,,,"hammer 1, axe 0, cut 0"
Limestone,Limestone,create,"16, 18, 19",stone,4.2,3.5,0,100,1,4,90,ToolLevel.TWO,4,908b77,"grainy, crude, default",limestone,,,"hammer 1, axe 0, cut 0"
Limestone,Limestone,unearthed,"16, 18, 19",stone,4.2,3.5,0,100,1,4,90,ToolLevel.TWO,4,7c776c,"grainy, crude, default",limestone,,,"hammer 1, axe 0, cut 0"
Magmatic Stone,Magmatic Stone,byg,"16, 18, 19",stone,4.3,4.3,0,400,1,4,90,ToolLevel.THREE,5,20110d,"grainy, crude, default",magmatic_stone,eff fierySelf 1 0.05,,"hammer 2, axe 0, cut 0"
Marble,Marble,quark,"16, 18, 19",stone,3,3.5,0,200,1,4,90,ToolLevel.TWO,4,c0c2c4,"grainy, crude, default",marble,,,"hammer 1, axe 0, cut 0"
Marble,Marble,unearthed,"16, 18, 19",stone,3,3.5,0,200,1,4,90,ToolLevel.TWO,4,ececec,"grainy, crude, default",marble,,,"hammer 1, axe 0, cut 0"
Myalite,Myalite,quark,"16, 18, 19",stone,6,5,0,500,2,2,90,ToolLevel.THREE,9,592e9a,"grainy, crude, default",myalite,,,"hammer 5, axe 0, cut 0"
Phyllite,Phyllite,unearthed,"16, 18, 19",stone,4.7,3,0,160,1,2,78,ToolLevel.TWO,4,767676,"grainy, crude, default",phyllite,,,"hammer 1, axe 0, cut 0"
Porphyry,Porphyry,atum,"16, 18, 19",stone,4.5,3.5,0,256,1,4,90,ToolLevel.TWO,4.5,232024,"grainy, crude, default",porphyry,,,"hammer 2, axe 0, cut 0"
Quartzite,Quartzite,unearthed,"16, 18, 19",stone,4.7,3.8,0,250,1,4,90,ToolLevel.TWO,5,f2ece4,"grainy, crude, default",quartzite,,,"hammer 2, axe 0, cut 0"
Red Rock,Red Rock,byg,"16, 18, 19",stone,3.8,3,0,160,1,4,90,ToolLevel.TWO,4,914d2d,"grainy, crude, default",red_rock,,,"hammer 1, axe 0, cut 0"
Rhyolite,Rhyolite,unearthed,"16, 18, 19",stone,4,3.5,0,180,1,4,90,ToolLevel.TWO,4.5,ac7c6c,"grainy, crude, default",rhyolite,,,"hammer 1, axe 0, cut 0"
Rocky Stone,Rocky Stone,byg,"16, 18, 19",stone,4,3,0,131,1,4,90,ToolLevel.TWO,4,787777,"grainy, crude, default",rocky_stone,,,"hammer 1, axe 0, cut 0"
Sandy Jadestone,Sandy Jadestone,betterendforge,"16, 18, 19",stone,4,3.8,0,2100,2,4,102,ToolLevel.TWO,4,879d57,"grainy, crude, default",sandy_jadestone,,,"hammer 5, axe 0, cut 0"
Schist,Schist,unearthed,"16, 18, 19",stone,4,3.5,0,180,1,4,90,ToolLevel.TWO,4.5,6b6864,"grainy, crude, default",schist,,,"hammer 1, axe 0, cut 0"
Scoria,Scoria,byg,"16, 18, 19",stone,3.5,2.4,0,100,1,4,102,ToolLevel.TWO,4,712f25,"grainy, crude, default",scoria_cobblestone,,,"hammer 1, axe 0, cut 0"
Scoria,Scoria,create,"16, 18, 19",stone,3.5,2.4,0,100,1,4,102,ToolLevel.TWO,4,712f25,"grainy, crude, default",scoria,,,"hammer 1, axe 0, cut 0"
Slate,Slate,quark,"16, 18, 19",stone,4.5,3,0,131,1,2,78,ToolLevel.TWO,4,4a5c5e,"grainy, crude, default",slate,,,"hammer 1, axe 0, cut 0"
Slate,Slate,unearthed,"16, 18, 19",stone,4.5,3,0,131,1,2,78,ToolLevel.TWO,4,626262,"grainy, crude, default",slate,,,"hammer 1, axe 0, cut 0"
Soapstone,Soapstone,byg,"16, 18, 19",stone,3,3.5,0,300,1,4,84,ToolLevel.TWO,3.5,3f3f3f,"grainy, crude, default",soapstone,,,"hammer 1, axe 0, cut 0"
Sulfuric Rock,Sulfuric,betterendforge,"16, 18, 19",stone,4.5,4.3,0,1561,1,4,90,ToolLevel.TWO,6,644c4c,"grainy, crude, default",sulphuric_rock,eff fierySelf 1 0.02,,"hammer 4, axe 0, cut 0"
Therium,Therium,byg,"16, 18, 19",stone,5.5,2,0,250,2,4,54,ToolLevel.TWO,7,b5e3df,"grainy, crude, default",therium_crystal,eff unstable 25 0,,"hammer 3, axe 0, cut 0"
Umbralith,Umbral,betterendforge,"16, 18, 19",stone,4,5,0,1561,2,2,90,ToolLevel.TWO,6,110f22,"grainy, crude, default",umbralith,,,"hammer 5, axe 0, cut 0"
Violecite,Violecite,betterendforge,"16, 18, 19",stone,4.5,7,0,500,3,2,90,ToolLevel.TWO,6,3b2f43,"grainy, crude, default",violecite,,imp violecite_density 0 0,"hammer 5, axe 0, cut 0"
Virid Jadestone,Virid Jadestone,betterendforge,"16, 18, 19",stone,4,3.8,0,2100,2,4,102,ToolLevel.TWO,4,305f4e,"grainy, crude, default",virid_jadestone,,,"hammer 5, axe 0, cut 0"
Voidstone,Voidstone,quark,16,stone,5.5,5.5,0,700,2,4,90,ToolLevel.THREE,8,121212,"grainy, crude, default",basalt,,,"hammer 5, axe 0, cut 0"
Aspen,Aspen,byg,"16, 18, 19",wood,2.8,1.6,6,50,1,4,96,ToolLevel.ONE,2,bf8c6d,"crude, wooden",aspen_planks,,,"hammer 0, axe 1, cut 0"
Aspen,Aspen,atmospheric,"16, 18, 19",wood,2.8,1.6,6,50,1,4,96,ToolLevel.ONE,2,c19a54,"crude, wooden",aspen_planks,,,"hammer 0, axe 1, cut 0"
Azure,Azure,outer_end,"16, 18, 19",wood,4.7,1.3,6,240,1,5,102,ToolLevel.THREE,6,343c64,"crude, wooden",azure_planks,,,"hammer 0, axe 5, cut 0"
Bamboo,Bamboo,bamboo_blocks,"16, 18, 19",wood,2.2,1.4,7.2,40,2,2,90,ToolLevel.ONE,3,bb9a4c,"crude, wooden",bamboo_planks,,,"hammer 0, axe 1, cut 0"
Baobab,Baobab,byg,"16, 18, 19",wood,3,2.2,5.5,180,2,5,78,ToolLevel.ONE,4,ad9b5c,"crude, wooden",baobab_planks,,,"hammer 0, axe 2, cut 0"
Blue Enchanted Wood,Blue Enchanted,byg,"16, 18, 19",wood,3,1.5,6,59,1,4,120,ToolLevel.ONE,3,5a6d94,"crude, wooden",blue_enchanted_planks,eff stabilizing 15 0,,"hammer 0, axe 2, cut 0"
Bulbis,Bulbis,byg,"16, 18, 19",wood,3,1.7,6,59,1,4,114,ToolLevel.THREE,4,8e57ae,"crude, wooden",bulbis_planks,,,"hammer 0, axe 3, cut 0"
Canopy,Canopy,twilightforest,"16, 18, 19",wood,3.5,1.5,6.5,256,1,4,90,ToolLevel.TWO,5,8c7254,"crude, wooden",canopy_planks,,,"hammer 0, axe 3, cut 0"
Cherry,Cherry,byg,"16, 18, 19",wood,3.5,2,6.5,70,1,5,72,ToolLevel.TWO,4,531814,"crude, wooden",cherry_planks,,,"hammer 0, axe 2, cut 0"
Cherry,Cherry,environmental,"16, 18, 19",wood,3.5,2,6.5,70,1,5,72,ToolLevel.TWO,4,7c342c,"crude, wooden",cherry_planks,,,"hammer 0, axe 2, cut 0"
Cherry,Cherry,biomesoplenty,"16, 18, 19",wood,3.5,2,6.5,70,1,5,72,ToolLevel.TWO,4,7a2723,"crude, wooden",cherry_planks,,,"hammer 0, axe 2, cut 0"
Baobab,Baobab,byg,16,wood,4.5,2,7.5,180,2,7,78,ToolLevel.TWO,4,ad9b5c,"crude, wooden",baobab_planks,,,"hammer 0, axe 3, cut 0"
Cypress,Cypress,byg,"16, 18, 19",wood,3.5,1.7,6,120,1,4,90,ToolLevel.ONE,2.5,b4b37b,"crude, wooden",cypress_planks,,,"hammer 0, axe 1, cut 0"
Cypress,Cypress,bayou_blues,"16, 18, 19",wood,3.5,1.7,6,120,1,4,90,ToolLevel.ONE,2.5,857e24,"crude, wooden",cypress_planks,,,"hammer 0, axe 1, cut 0"
Darkwood,Dark,twilightforest,"16, 18, 19",wood,4,2.5,6,768,2,5,90,ToolLevel.TWO,7,82512e,"crude, wooden",dark_planks,,,"hammer 0, axe 2, cut 0"
Deadwood,Deadwood,biomesoplenty,"16, 18, 19",wood,4,1.3,4.5,180,1,3,102,ToolLevel.TWO,5,807a72,"crude, wooden",dead_planks,,,"hammer 0, axe 2, cut 0"
Deadwood,Deadwood,atum,16,wood,4,1.3,4.5,180,1,3,102,ToolLevel.TWO,5,8d8460,"crude, wooden",deadwood_planks,,,"hammer 0, axe 2, cut 0"
Dragon Tree,Draconic,betterendforge,"16, 18, 19",wood,4,2.2,9,600,2,4,102,ToolLevel.TWO,2,302242,"crude, wooden",dragon_tree_planks,,,"hammer 0, axe 6, cut 0"
Driftwood,Driftwood,upgrade_aquatic,"16, 18, 19",wood,3,1.4,4,50,1,4,96,ToolLevel.ONE,2,625c53,"crude, wooden",driftwood_planks,,,"hammer 0, axe 1, cut 0"
Ebony,Ebony,byg,"16, 18, 19",wood,4,2.6,3,200,2,6,72,ToolLevel.TWO,5,161616,"crude, wooden",ebony_planks,,,"hammer 0, axe 2, cut 0"
Embur,Embur,byg,"16, 18, 19",wood,2.8,1.2,7.5,100,1,4,90,ToolLevel.TWO,4,463527,"crude, wooden",embur_planks,,,"hammer 0, axe 3, cut 0"
End Lotus,End Lotus,betterendforge,"16, 18, 19",wood,2,1.3,6,200,1,4,90,ToolLevel.TWO,5,7bd1ea,"crude, wooden",end_lotus_planks,,,"hammer 0, axe 4, cut 0"
Ether,Ethereal,byg,16,wood,4.5,1,5,200,1,4,102,ToolLevel.THREE,6,5f9584,"crude, wooden",ether_planks,,,"hammer 0, axe 5, cut 0"
Fir,Fir,byg,"16, 18, 19",wood,2,1.5,6,50,1,3,108,ToolLevel.ONE,3,9f8361,"crude, wooden",fir_planks,,,"hammer 0, axe 1, cut 0"
Fir,Fir,biomesoplenty,"16, 18, 19",wood,2,1.5,6,50,1,3,108,ToolLevel.ONE,3,988f77,"crude, wooden",fir_planks,,,"hammer 0, axe 1, cut 0"
Glowing,Glowing,netheragriculture,"16, 18, 19",wood,4,2.5,7.5,65,2,6,90,ToolLevel.TWO,4,DDA14E,"crude, wooden",glowing_planks,,,"hammer 0, axe 3, cut 0"
Glowshroom,Glowshroom,betterendforge,16,wood,3.8,1.8,6.5,59,3,1,84,ToolLevel.THREE,18,019c87,"crude, wooden",mossy_glowshroom_planks,eff unstable 15 0,,"hammer 0, axe 5, cut 0"
Green Enchanted Wood,Green Enchanted,byg,"16, 18, 19",wood,3,1.5,6,59,1,4,120,ToolLevel.ONE,3,709a62,"crude, wooden",green_enchanted_planks,eff stabilizing 15 0,,"hammer 0, axe 2, cut 0"
Grimwood,Grim,atmospheric,"16, 18, 19",wood,3.5,1.6,6.5,200,1,5,102,ToolLevel.TWO,6,211414,"crude, wooden",grimwood_planks,,,"hammer 0, axe 3, cut 0"
Helix,Helix,betterendforge,16,wood,5,1.6,7,200,2,5,102,ToolLevel.FOUR,5,c87d20,"crude, wooden",helix_tree_planks,,,"hammer 0, axe 5, cut 0"
Hellbark,Hellbark,biomesoplenty,"16, 18, 19",wood,4.5,1.7,5.5,250,2,6,72,ToolLevel.TWO,4,372c2d,"crude, wooden",hellbark_planks,,,"hammer 0, axe 3, cut 0"
Holly,Holly,byg,"16, 18, 19",wood,3,1.7,6,59,1,4,90,ToolLevel.ONE,2,bca980,"crude, wooden",holly_planks,,,"hammer 0, axe 1, cut 0"
Jacaranda,Jacaranda,byg,"16, 18, 19",wood,2,1.5,6,50,1,3,108,ToolLevel.ONE,3,966b6a,"crude, wooden",jacaranda_planks,,,"hammer 0, axe 1, cut 0"
Jacaranda,Jacaranda,biomesoplenty,"16, 18, 19",wood,2,1.5,6,50,1,3,108,ToolLevel.ONE,3,baa39a,"crude, wooden",jacaranda_planks,,,"hammer 0, axe 1, cut 0"
Jellyshroom,Jellyshroom,betterendforge,"16, 18, 19",wood,4,3,7,200,2,6,120,ToolLevel.TWO,8,7ea0a8,"crude, wooden",jellyshroom_planks,,,"hammer 0, axe 4, cut 0"
Kousa,Kousa,atmospheric,"16, 18, 19",wood,4,2.4,2.8,180,2,6,72,ToolLevel.TWO,5,728778,"crude, wooden",kousa_planks,,,"hammer 0, axe 2, cut 0"
Lacugrove,Lacugrove,betterendforge,"16, 18, 19",wood,2.8,1.4,6.6,780,2,4,138,ToolLevel.TWO,6,dae1a7,"crude, wooden",lacugrove_planks,,,"hammer 0, axe 5, cut 0"
Lament,Lamenting,byg,"16, 18, 19",wood,4,3,5.5,220,2,5,75,ToolLevel.TWO,4,554f9a,"crude, wooden",lament_planks,eff unstable 10 0,,"hammer 0, axe 3, cut 0"
Lucernia,Lucernia,betterendforge,"16, 18, 19",wood,3,2,6.2,780,2,2,96,ToolLevel.THREE,11,d46c64,"crude, wooden",lucernia_planks,,,"hammer 0, axe 5, cut 0"
Magic Wood,Magical Wood,biomesoplenty,"16, 18, 19",wood,3,1.5,6,59,1,4,120,ToolLevel.ONE,3,4563a3,"crude, wooden",magic_planks,eff stabilizing 15 0,,"hammer 0, axe 2, cut 0"
Mahogany,Mahogany,byg,"16, 18, 19",wood,4,2.6,3,200,2,6,72,ToolLevel.TWO,5,8e6872,"crude, wooden",mahogany_planks,,,"hammer 0, axe 2, cut 0"
Mahogany,Mahogany,biomesoplenty,"16, 18, 19",wood,4,2.6,3,200,2,6,72,ToolLevel.TWO,5,bb7c7a,"crude, wooden",mahogany_planks,,,"hammer 0, axe 2, cut 0"
Mangrove,Mangrove,byg,"16, 18",wood,3.5,1.7,6,120,1,4,90,ToolLevel.ONE,2.5,c7c0bb,"crude, wooden",mangrove_planks,,,"hammer 0, axe 1, cut 0"
Mangrove,Mangrove,twilightforest,"16, 18, 19",wood,3.5,1.7,6,120,1,4,90,ToolLevel.ONE,2.5,bfa16d,"crude, wooden",mangrove_planks,,,"hammer 0, axe 1, cut 0"
Maple,Maple,byg,"16, 18, 19",wood,3.5,2,6.5,90,2,5,96,ToolLevel.ONE,4,82786f,"crude, wooden",maple_planks,,,"hammer 0, axe 2, cut 0"
Maple,Maple,autumnity,"16, 18, 19",wood,3.5,2,6.5,90,2,5,96,ToolLevel.ONE,4,9c6134,"crude, wooden",maple_planks,,,"hammer 0, axe 2, cut 0"
Morado,Morado,atmospheric,"16, 18, 19",wood,3.5,2,6.5,90,2,5,96,ToolLevel.ONE,4,7e3439,"crude, wooden",morado_planks,,,"hammer 0, axe 2, cut 0"
Nightshade,Nightshade,byg,"16, 18, 19",wood,5,1.3,5,780,2,7,90,ToolLevel.THREE,6,915f2a,"crude, wooden",nightshade_planks,,,"hammer 0, axe 5, cut 0"
Palm,Palm,byg,"16, 18, 19",wood,2.2,1.4,6,59,1,3,108,ToolLevel.ONE,3,a3906d,"crude, wooden",palm_planks,,,"hammer 0, axe 1, cut 0"
Palm,Palm,atum,"16, 18, 19",wood,2.2,1.4,6,59,1,3,108,ToolLevel.ONE,3,ab8556,"crude, wooden",palm_planks,,,"hammer 0, axe 1, cut 0"
Palm,Palm,biomesoplenty,"16, 18, 19",wood,2.2,1.4,6,59,1,3,108,ToolLevel.ONE,3,ac7b39,"crude, wooden",palm_planks,,,"hammer 0, axe 1, cut 0"
Pine,Pine,byg,"16, 18, 19",wood,2,1.5,6,45,1,3,108,ToolLevel.ONE,3,968b70,"crude, wooden",pine_planks,,,"hammer 0, axe 1, cut 0"
Poise,Poise,endergetic,"16, 18, 19",wood,4.5,1,5,250,1,4,102,ToolLevel.TWO,5,6e3c6f,"crude, wooden",poise_planks,,,"hammer 0, axe 4, cut 0"
Pythadendron,Pythadendron,betterendforge,"16, 18, 19",wood,5.5,1.7,5,1021,2,8,90,ToolLevel.THREE,7,6b546b,"crude, wooden",pythadendron_planks,,,"hammer 0, axe 5, cut 0"
Rainbow Eucalyptus,Rainbow Eucalyptus,byg,"16, 18, 19",wood,3,1.7,6.5,59,1,4,90,ToolLevel.ONE,2,ab937e,"crude, wooden",rainbow_eucalyptus_planks,,,"hammer 0, axe 1, cut 0"
Redwood,Redwood,byg,"16, 18, 19",wood,2,1.4,6,50,1,4,108,ToolLevel.ONE,3,934931,"crude, wooden",redwood_planks,,,"hammer 0, axe 1, cut 0"
Redwood,Redwood,biomesoplenty,"16, 18, 19",wood,2,1.4,6,50,1,4,108,ToolLevel.ONE,3,904b2f,"crude, wooden",redwood_planks,,,"hammer 0, axe 1, cut 0"
River,Riverwood,upgrade_aquatic,"16, 18, 19",wood,2.8,1.8,6,80,1,4,90,ToolLevel.ONE,2,735844,"crude, wooden",river_planks,,,"hammer 0, axe 1, cut 0"
Rosewood,Rosewood,atmospheric,"16, 18, 19",wood,3.5,2,6.5,90,2,5,96,ToolLevel.ONE,4,735a5b,"crude, wooden",rosewood_planks,,,"hammer 0, axe 2, cut 0"
Skyris,Skyris,byg,"16, 18, 19",wood,2.8,1,6,59,1,2,90,ToolLevel.ONE,3,57798c,"crude, wooden",skyris_planks,,,"hammer 0, axe 2, cut 0"
