  Name,ignore  Add-On,ignore  Fixed,ignore  Rarity,ignore  Niche,  Adjective,  Mod ID,  Versions,  Category,  Prim,  Sec,  Tert,  Dur,  iCost,  iGain,  magic,  tlevel,  teff,  tint,  textures,  item,  effects,  improvements,  reqTools
Fieldsprout,AT,,,Handle A,Fieldsprout,aether_redux,"19, 20",wood,3.4,2.7,6.5,1280,2,6,114,2,4,d4847b,"crude, wooden",fieldsprout_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 3
Gilded Vine,AT,,,Binding A,Gilded vine,aether_redux,"19, 20",fibre,4,2.2,3,768,2,7,24,0,0,d4cfbb,"crude, default",gilded_vines,,imp aetheric_tetranomicon/aetheric 0 0,cut 3
Glacia,AT,,,,Glacia,aether_redux,"19, 20",wood,3,1.7,5.4,1024,1,4,120,1,6,9e9a89,"crude, wooden",glacia_planks,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/harvester 0 0",axe 4
Golden Vine,AT,,,Bowstring B+,Golden vine,aether_redux,"19, 20",fibre,3,3.3,3,768,2,6,96,0,0,dbc33e,"crude, default",golden_vines,,imp aetheric_tetranomicon/aetheric 0 0,cut 2
Springshroom,AT,,,Bow A,Springshroom,aether_redux,"19, 20",wood,4.2,2.8,8.2,768,2,4,96,1,4,81868e,"crude, wooden",springshroom_planks,eff stabilizing 15 0,imp aetheric_tetranomicon/aetheric 0 0,axe 4
Veridium,AT,Yes,,,Veridium,aether_redux,"19, 20",metal,4,3,3,750,2,4,1,4,2.25,5885cd,"shiny, metal, default",veridium_ingot,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/veridium_infusable 0 0",hammer 3
Vitrium,AT,,,Greatsword B,Vitrium,aether_redux,"19, 20",stone,5.4,6.5,0,768,3,2,90,4,4,373649,"grainy, crude, default",vitrium,eff crushing 2 0,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/ambrosia_seeker_tool 0 0, imp aetheric_tetranomicon/ambrosia_seeker_weapon 0 0",hammer 3
Aseterite,AT,,,,Aseterite,deep_aether,"19, 20",stone,4.4,4,0,448,1,3,90,3,6,897a87,"grainy, crude, default",aseterite,eff sweeping 3 1,imp aetheric_tetranomicon/aetheric 0 0,hammer 2
Clorite,AT,,,,Clorite,deep_aether,"19, 20",stone,3.8,3,0,448,1,4,120,3,4,4c92a1,"grainy, crude, default",clorite,eff stabilizing 15 0,imp aetheric_tetranomicon/aetheric 0 0,hammer 2
Conberry,AT,,3,Handle A+,Conberry,deep_aether,"19, 20",wood,5.5,2.6,5,768,2,7,102,3,4,946f53,"crude, wooden",conberry_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 4
Cruderoot,AT,,,,Cruderoot,deep_aether,"19, 20",wood,2.9,1.6,6.2,512,2,5,102,2,3.5,8177a5,"crude, wooden",cruderoot_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 3
Roseroot,AT,,3,Handle A,Roseroot,deep_aether,"19, 20",wood,5.5,2.3,6.2,768,2,6,144,3,4,efb2bb,"crude, wooden",roseroot_planks,eff stabilizing 15 0,imp aetheric_tetranomicon/aetheric 0 0,axe 4
Skyjade,AT,Yes,,,Skyjade,deep_aether,"19, 20",gem,5,3.2,0,150,2,2,1,4,10,b2e865,"shiny, crude",skyjade,,imp aetheric_tetranomicon/aetheric 0 0,hammer 2
Stratus,AT,Yes,5,Sword/Tool A,Stratus,deep_aether,"19, 20",metal,7,2.7,3.2,2031,2,6,90,6,9,834f99,"shiny, metal, default",stratus_ingot,,"imp aetheric_tetranomicon/aetheric 0 0, imp aetheric_tetranomicon/levitator_tool 0 0, imp aetheric_tetranomicon/levitator_weapon 0 0",hammer 4
Sunroot,AT,,3,Handle A,Sunroot,deep_aether,"19, 20",wood,4.6,1.4,6,1280,2,6,120,2,4,efd2b9,"crude, wooden",sunroot_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 4
Sunroot Hanger,AT,,,Bowstring A,Sunroot hanger,deep_aether,"19, 20",fibre,2,3.4,3.5,1024,2,6,120,0,0,ffefd6,"crude, default",sunroot_hanger,,imp aetheric_tetranomicon/aetheric 0 0,cut 4
Highsproot,AT,,,Bow A,Highsproot,ancient_aether,"19, 20",wood,4,2.7,8,768,1,4,102,2,4,5b5142,"crude, wooden",highsproot_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 4
Sakura,AT,,,Handle A,Sakura,ancient_aether,"19, 20",wood,3.6,2.7,6,1024,1,6,108,1,3,473832,"crude, wooden",sakura_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 4
Yagroot,AT,,,Bow A,Yagroot,deep_aether,"19, 20",wood,5,2.5,8.4,1024,2,3,114,3,4,5c4e6a,"crude, wooden",yagroot_planks,,imp aetheric_tetranomicon/aetheric 0 0,axe 6
Yagroot Vines,AT,,,Binding A+,Yagroot Vine,deep_aether,"19, 20",fibre,4,3.2,3,1024,2,7,54,0,0,88689f,"crude, default",yagroot_vine,eff unstable 7 0,imp aetheric_tetranomicon/aetheric 0 0,cut 4
