Name,Adjective,Mod ID,Versions,Category,Prim,Sec,Tert,Dur,iCost,iGain,magic,tlevel,teff,tint,textures,item,effects,improvements,reqTools
Porphyry,Porphyry,atum,16,stone,6,5,0,1024,2,4,90,5,8,232024,"grainy, crude, default",porphyry,eff sweeping 3 1,imp arrested 0 0,hammer 5
Tower Wood,Tower Wood,twilightforest,16,wood,5.5,4,7,1024,3,6,90,4,7,9d6238,"crude, wooden",tower_wood,,,axe 6
Towerwood,Towerwood,twilightforest,"18, 19",wood,5.5,4,7,1024,3,6,90,4,7,9d6238,"crude, wooden",towerwood,,,axe 6
Fiery Metal,Fiery,twilightforest,"16, 18, 19",metal,7,4,3,1024,2,5,60,6,9,dc7404,"shiny, metal, default",fiery_ingot,eff fierySelf 3 0.1,imp enchantment/fire_aspect 1 0,hammer 3
Tenanea,Tenanea,betterendforge,16,wood,5.4,2,8.8,1024,2,2,96,4,6.5,944f86,"crude, wooden",tenanea_planks,eff enderReverb 6 0.6,,axe 7
Ether,Ether,byg,"16, 18, 19",wood,4.2,1.4,8.6,1024,1,4,96,4,6,5f9584,"crude, wooden",ether_planks,,,axe 6
Twisted Vine,Twisted Vine,betterendforge,16,fibre,1,0.8,5,1024,2,7,108,0,0,0a0a0a,"crude, default",twisted_vine,,,cut 5
Refined Radiance,Refined Radiance,create,"16, 18, 19, 20",metal,5.8,2.8,3.5,876,2,6,124,5,7,ffffff,"metal, default",refined_radiance,eff stabilizing 8 0,,hammer 4
Blazing Gold,Blazing Gold,netheragriculture,16,metal,5,4.6,1,768,4,4,132,3,50,ee7b29,"shiny, metal, default",blazing_gold_ingot,eff fierySelf 2 0.02,"imp blazing_tool 2 0, imp blazing_blade 4 0",hammer 6
Darkwood,Dark,twilightforest,"16, 18, 19",wood,4,2.5,6,768,2,5,90,3,7,82512e,"crude, wooden",dark_planks,,,axe 2
Dragon Tree,Draconic,betterendforge,16,wood,4,2.2,9.2,768,2,4,108,3,2,302242,"crude, wooden",dragon_tree_planks,,,axe 7
Lucernia,Lucernia,betterendforge,16,wood,4.7,2,8.2,768,2,2,102,3,7,d46c64,"crude, wooden",lucernia_planks,,,axe 7
Helix,Helix,betterendforge,16,wood,5,1.6,7,768,2,5,108,5,7.5,c87d20,"crude, wooden",helix_tree_planks,eff stabilizing 15 0,,axe 6
Lacugrove,Lacugrove,betterendforge,16,wood,2.8,1.4,6,768,2,4,138,3,8,dae1a7,"crude, wooden",lacugrove_planks,eff stabilizing 15 0,,axe 6
Azure Wood,Azure,outer_end,16,wood,4.7,1.3,6,768,2,7,102,4,6,343c64,"crude, wooden",azure_planks,,,axe 6
Shulkren Vine,Shulkren Vine,byg,"16, 18, 19",fibre,3,1.2,3.5,768,1,6,114,0,0,007e3e,"crude, default",shulkren_vine,,,cut 3
Tungsten,Tungsten,stalwart_dungeons,"16, 18, 19",metal,7,4.5,3.5,750,2,6,12,5,11,aadb74,"heavy, metal, default",tungsten_ingot,,,hammer 5
Platinum,Platinum,wyrmroost,16,metal,5,4.8,1,645,2,1,114,5,5.5,dedede,"shiny, metal, default",platinum_ingot,,,hammer 2
Wailing Vine,Wailing Vine,byg,"18, 19",fibre,5,2.5,3.3,640,1,6,96,0,0,534068,"crude, default",wailing_vine,,,cut 4
Umbrella Tree,Umbrella Tree,betterendforge,16,wood,4,2.4,6,640,2,6,114,3,10,04646c,"crude, wooden",umbrella_tree_planks,,,axe 6
Ironwood,Ironwood,twilightforest,"18, 19, 20",metal,5,3.8,3,512,2,5,150,4,6.5,979283,"metal, default",ironwood_ingot,,,hammer 2
Ironwood,Ironwood,twilightforest,16,metal,5,3.8,3,512,2,5,150,4,6.5,979283,"metal, default",ironwood_ingot,,"imp ironwood_innate_efficiency 1 0, imp ironwood_innate_unbreaking 1 0, imp ironwood_innate_fortune 1 0, imp ironwood_innate_knockback 1 0",hammer 2
Jasper,Jasper,quark,"16, 18, 19",stone,4.7,3,0,512,1,3,102,4,6,6a3e32,"grainy, crude, default",jasper,,,hammer 2
Knightmetal,Knightly,twilightforest,"16, 18, 19",metal,6,2.9,3.5,512,2,6,48,5,8,748b77,"metal, default",knightmetal_ingot,eff armorPenetration 20 0,,hammer 3
Ebony,Ebony,byg,"16, 18, 19; 16, 18, 19; 16, 18, 19, 20; 18, 19, 20",wood,4,2.6,3,512,2,5,84,3,5,161616,"crude, wooden",ebony_planks,,,axe 2
Mahogany,Mahogany,byg,,wood,4,2.6,3,512,2,5,84,3,5,8e6872,"crude, wooden",mahogany_planks,,,axe 2
Mahogany,Mahogany,biomesoplenty,,wood,4,2.6,3,512,2,5,84,3,5,bb7c7a,"crude, wooden",mahogany_planks,,,axe 2
Rosewood,Rosewood,atmospheric,"16, 18, 19",wood,4,2,7,512,2,5,102,1,5,735a5b,"crude, wooden",rosewood_planks,,,axe 4
Morado,Morado,atmospheric,"16, 18, 19",wood,4,2,7,512,2,5,102,1,5,7e3439,"crude, wooden",morado_planks,,,axe 4
Maple,Maple,byg,"16, 18, 19; 16, 18, 19; 18, 19, 20; 20; 18, 19, 20",wood,4,2,7,512,2,5,96,1,4,82786f,"crude, wooden",maple_planks,,,axe 4
Maple,Maple,autumnity,,wood,4,2,7,512,2,5,96,1,4,9c6134,"crude, wooden",maple_planks,,,axe 4
Hellbark,Hellbark,biomesoplenty,"16, 18, 19",wood,4.5,1.7,5.5,512,2,6,84,3,4,372c2d,"crude, wooden",hellbark_planks,,,axe 4
Umbran,Umbran,biomesoplenty,"16, 18, 19",wood,3.5,1.6,5.2,512,2,6,132,3,6,655575,"crude, wooden",umbran_planks,,,axe 5
Grimwood,Grim,atmospheric,"16, 18, 19",wood,3.5,1.6,6.5,512,1,5,102,3,6,211414,"crude, wooden",grimwood_planks,,,axe 4
Canopy,Canopy,twilightforest,"16, 18, 19",wood,4,1.4,5.5,512,1,6,102,3,6,442c1c,"crude, wooden",canopy_planks,,,axe 2
Brass,Brass,create,"16, 18, 19, 20",metal,5.5,4,3.2,462,2,6,87,4,6.5,ffc940,"metal, default",brass_ingot,,,hammer 2
Magmatic Stone,Magmatic Stone,byg,"16, 18, 19",stone,4.3,4.3,0,448,1,4,90,4,5,20110d,"grainy, crude, default",magmatic_stone,eff fierySelf 1 0.05,,hammer 2
Lament Vine,Lament Vine,byg,"16, 18, 19",fibre,5,3.5,3,448,1,5,96,0,0,48386a,"crude, default",lament_vine,,,cut 2
Naga Scale,Naga Scale,twilightforest,"16, 18, 19",scale,6,0.6,2,448,1,5,108,0,0,3c5d45,"crude, default",naga_scale,,,cut 3
Drake Backplate,Drake Backplate,wyrmroost,16,scale,6,3.2,2,384,2,5,54,0,0,3c5d45,"crude, default",drake_backplate,,,cut 3
Lament,Lamenting,byg,"16, 18, 19",wood,4,2.6,5.5,384,2,5,132,3,4,554f9a,"crude, wooden",lament_planks,eff stabilizing 10 0,,axe 4
Holly,Holly,byg,"16, 18, 19",wood,3,1.7,6,384,1,5,90,1,2,bca980,"crude, wooden",holly_planks,,,axe 2
Thallasium,Thallasium,betterendforge,16,metal,4.5,3.6,2.8,320,2,5,72,4,7,98e3d8,"metal, default",thallasium_ingot,,,hammer 2
Soapstone,Soapstone,byg,"16, 18, 19",stone,3,3.5,0,320,1,4,84,3,3.5,3f3f3f,"grainy, crude, default",soapstone,,,hammer 1
Embur vine,Embur vine,byg,"18, 19",fibre,5,3,3,320,1,5,96,0,0,c0911e,"crude, default",embur_gel_vines,,,cut 2
Quartzite,Quartzite,unearthed,"16, 18, 19",stone,4.7,3.8,0,250,1,4,90,3,5,f2ece4,"grainy, crude, default",quartzite,,,hammer 2
Therium,Therium,byg,"16, 18, 19",stone,5.5,2,0,250,2,4,54,3,7,b5e3df,"grainy, crude, default",therium_crystal,eff unstable 25 0,,hammer 3
Deadwood,Deadwood,atum,16,wood,4,1.8,4.5,250,1,6,102,3,5,8d8460,"crude, wooden",deadwood_planks,,,axe 2
Deadwood,Deadwood,biomesoplenty,"16, 18, 19, 20",wood,4,1.8,4.5,250,1,6,102,3,5,807a72,"crude, wooden",dead_planks,,,axe 2
Ancient Wood,Ancient Wood,quark,19,wood,4.5,1.6,5.5,250,2,6,84,1,4,e3ede9,"crude, wooden",ancient_planks,,,axe 2
Magic Wood,Magic Wood,biomesoplenty,"16, 18, 19, 20",wood,3,1.5,6,250,2,4,132,1,3,4563a3,"crude, wooden",magic_planks,eff stabilizing 15 0,,axe 2
Blue Enchanted Wood,Blue Enchanted,byg,"16, 18, 19",wood,3,1.5,6,250,2,4,132,1,3,5a6d94,"crude, wooden",blue_enchanted_planks,eff stabilizing 15 0,,axe 2
Green Enchanted Wood,Green Enchanted,byg,"16, 18, 19",wood,3,1.5,6,250,2,4,132,1,3,709a62,"crude, wooden",green_enchanted_planks,eff stabilizing 15 0,,axe 2
Twilight Oak,Twilight Oak,twilightforest,"16, 18, 19",wood,3.5,1.5,6.5,250,1,4,90,3,5,8c7254,"crude, wooden",twilight_oak_planks,,,axe 4
Zinc,Zinc,create,"19, 20",metal,5,3.8,1,200,2,3,102,4,6,b9e9c1,"metal, default",zinc_ingot,,,hammer 2
Andesite Alloy,Andesite Alloy,create,"16, 18, 19, 20",metal,5.3,3.7,0.8,198,2,4,96,4,5.5,928f97,"metal, default",andesite_alloy,,,hammer 1
Gabbro,Gabbro,create,"16, 18, 19",stone,4,3.8,0,192,2,3,90,3,4.5,979795,"grainy, crude, default",gabbro,,,hammer 1
Gabbro,Gabbro,unearthed,"16, 18, 19",stone,4,3.8,0,192,2,3,90,3,4.5,979795,"grainy, crude, default",gabbro,,,hammer 1
Dacite,Dacite,byg,"16, 18, 19",stone,4,3.5,0,192,1,4,90,3,4.5,bab1a9,"grainy, crude, default",dacite,,,hammer 1
Kimberlite,Kimberlite,unearthed,"16, 18, 19",stone,4,3.5,0,192,1,4,90,3,4.5,4c5835,"grainy, crude, default",kimberlite,,,hammer 1
Rhyolite,Rhyolite,unearthed,"16, 18, 19",stone,4,3.5,0,192,1,4,90,3,4.5,ac7c6c,"grainy, crude, default",rhyolite,,,hammer 1
Schist,Schist,unearthed,"16, 18, 19",stone,4,3.5,0,192,1,4,90,3,4.5,6b6864,"grainy, crude, default",schist,,,hammer 1
Alabaster,Alabaster,atum,16,stone,3,3.5,0,192,1,4,90,3,4,efe3d1,"crude, default",alabaster,,,hammer 2
Marble,Marble,quark,"16, 18, 19",stone,3,3.5,0,192,1,4,90,3,4,c0c2c4,"crude, default",marble,,,hammer 2
Marble,Marble,unearthed,"16, 18, 19",stone,3,3.5,0,192,1,4,90,3,4,305f4e,"crude, default",marble,,,hammer 2
Khnumite,Stoneguard,atum,16,stone,4.1,3.5,0,192,1,4,60,3,6,998b59,"grainy, crude, default",khnumite,,imp brutal 0 0,hammer 1
Jellyshroom,Jellyshroom,betterendforge,16,wood,4,3,7,192,2,6,120,3,8,7ea0a8,"crude, wooden",jellyshroom_planks,,,axe 5
Scorchia,Scorchia,create,"19, 20",stone,4,3,0,192,1,4,90,3,4.5,2d2f35,"grainy, crude, default",scorchia,,,hammer 1
Red Rock,Red Rock,byg,"16, 18, 19",stone,3.8,3,0,192,1,4,90,3,4,914d2d,"grainy, crude, default",red_rock,,,hammer 1
Phyllite,Phyllite,unearthed,"16, 18, 19",stone,4.7,3,0,192,1,2,78,3,4,767676,"grainy, crude, default",phyllite,,,hammer 1
Kousa,Kousa,atmospheric,"16, 18, 19",wood,4,2.4,2.8,192,2,5,72,3,5,728778,"crude, wooden",kousa_planks,,,axe 2
Baobab,Baobab,byg,"16, 18, 19",wood,3,2.2,5.5,192,2,5,78,1,4,ad9b5c,"crude, wooden",baobab_planks,,,axe 2
End Lotus,End Lotus,betterendforge,16,wood,2,1.3,6,192,1,4,90,3,5,7bd1ea,"crude, wooden",end_lotus_planks,,,axe 5
Limestone,Limestone,atum,16,stone,4,3.5,0,131,1,4,36,3,4,c6a886,"grainy, crude, default",limestone,,,hammer 1
Rocky Stone,Rocky Stone,byg,"16, 18, 19",stone,4,3,0,131,1,4,90,3,4,787777,"grainy, crude, default",rocky_stone,,,hammer 1
Asurine,Asurine,create,"19, 20",stone,3.5,3,0,131,1,4,90,3,4,4c5c7c,"grainy, crude, default",asurine,,,hammer 1
Crimsite,Crimsite,create,"19, 20",stone,3.5,3,0,131,1,4,90,3,4,54242c,"grainy, crude, default",crimsite,,,hammer 1
Veridium,Veridium,create,"19, 20",stone,3.5,3,0,131,1,4,90,3,4,1e5a44,"grainy, crude, default",veridium,,,hammer 1
Slate,Slate,"quark, unearthed","16, 18, 19",stone,4.5,3,0,131,1,2,78,3,4,"4a5c5e, 626262","grainy, crude, default",slate,,,hammer 1
Shale,Shale,quark,19,stone,4,3,0,131,1,2,78,3,4,5a7177,"grainy, crude, default",shale,,,hammer 1
Steeleaf,Steeleaf,twilightforest,"18, 19, 20",metal,6,2.5,3,131,2,4,54,5,8,385e2b,"metal, default",steeleaf_ingot,,,hammer 3
Steeleaf,Steeleaf,twilightforest,16,metal,6,2.5,3,131,2,4,54,5,8,385e2b,"metal, default",steeleaf_ingot,,"imp steeleaf_innate_efficiency 1 0, imp steeleaf_innate_efficiency_two 2 0, imp steeleaf_innate_looting 2 0, imp steeleaf_innate_fortune 1 0",hammer 3
Aurora Crystal,Aurora Crystal,betterendforge,16,gem,5,2,0,131,2,1,150,7,6,862ec0,"shiny, crude",crystal_shards,eff intuit 1 0,imp arrested 0 0,hammer 6
Cypress,Cypress,bayou_blues,16,wood,3.5,1.7,6,131,1,4,90,1,2.5,857e24,"crude, wooden",cypress_planks,,,axe 1
Cypress,Cypress,byg,"16, 18, 19",wood,3.5,1.7,6,131,1,4,90,1,2.5,b4b37b,"crude, wooden",cypress_planks,,,axe 1
Mangrove,Mangrove,byg,"16, 18",wood,3.5,1.7,6,131,1,4,90,1,2.5,c7c0bb,"crude, wooden",mangrove_planks,,,axe 1
White Mangrove,White Mangrove,byg,19,wood,3.5,1.7,6,131,1,4,90,1,2.5,c7c0bb,"crude, wooden",white_mangrove_planks,,,axe 1
Witch Hazel,Witch Hazel,byg,"16, 18, 19",wood,3.5,1.7,6,131,1,4,90,1,2.5,276041,"crude, wooden",witch_hazel_planks,,,axe 1
Mangrove,Mangrove,twilightforest,"16, 18, 19, 20",wood,3.5,1.7,6,131,1,4,90,1,2.5,bfa16d,"crude, wooden",mangrove_planks,,,axe 1
Blossom,Blossom,quark,19,wood,3,1.5,6,131,1,5,108,1,2,5c3420,"crude, wooden",blossom_planks,,,axe 1
Redwood,Redwood,biomesoplenty,"16, 18, 19, 20",wood,3.2,1.4,5,131,1,5,108,1,3,904b2f,"crude, wooden",redwood_planks,,,axe 1
Redwood,Redwood,byg,"16, 18, 19",wood,3.2,1.4,5,131,1,5,108,1,3,934931,"crude, wooden",redwood_planks,,,axe 1
Skyris Vine,Skyris Vine,byg,"16, 18, 19",fibre,3,0.7,2.8,131,1,2,90,0,0,f1a9a9,"crude, default",skyris_vine,,,cut 2
Limestone,Limestone,create,"16, 18, 19, 20",stone,4.2,3.5,0,96,1,4,90,3,4,908b77,"grainy, crude, default",limestone,,,hammer 1
Limestone,Limestone,quark,"16, 18, 19",stone,4.2,3.5,0,96,1,4,90,3,4,908b77,"grainy, crude, default",limestone,,,hammer 1
Limestone,Limestone,unearthed,"16, 18, 19",stone,4.2,3.5,0,96,1,4,90,3,4,7c776c,"grainy, crude, default",limestone,,,hammer 1
Dolomite,Dolomite,create,"16, 18, 19",stone,4.2,3.5,0,96,1,4,90,3,4,908b77,"grainy, crude, default",dolomite,,,hammer 1
Ochrum,Ochrum,create,"19, 20",stone,3.5,2.5,0,96,1,4,90,3,4,a68858,"grainy, crude, default",ochrum,,,hammer 1
Scoria,Scoria,byg,"16, 18, 19",stone,3.5,2.4,0,96,1,4,102,3,4,712f25,"grainy, crude, default",scoria_cobblestone,,,hammer 1
Scoria,Scoria,create,"16, 18, 19, 20",stone,3.5,2.4,0,96,1,4,102,3,4,712f25,"grainy, crude, default",scoria,,,hammer 1
Dark Scoria,Dark Scoria,create,"16, 18, 19",stone,3.5,2.4,0,96,1,4,102,3,4,712f25,"grainy, crude, default",dark_scoria,,,hammer 1
Wisteria,Wisteria,environmental,"16, 18, 19",wood,2.8,2,5.7,96,1,4,102,1,2,e0d4b0,"crude, wooden",wisteria_planks,,,axe 1
Cherry,Cherry,biomesoplenty,"16, 18, 19",wood,3.5,2,6.5,96,1,5,72,3,4,7a2723,"crude, wooden",cherry_planks,,,axe 2
Cherry,Cherry,byg,"16, 18, 19",wood,3.5,2,6.5,96,1,5,72,3,4,531814,"crude, wooden",cherry_planks,,,axe 2
Cherry,Cherry,environmental,"16, 18, 19",wood,3.5,2,6.5,96,1,5,72,3,4,7c342c,"crude, wooden",cherry_planks,,,axe 2
Riverwood,Riverwood,upgrade_aquatic,"16, 18, 19",wood,2.8,1.8,6,96,1,4,90,1,2,735844,"crude, wooden",river_planks,,,axe 1
Embur,Embur,byg,"16, 18, 19",wood,2.8,1.2,6.8,96,1,4,90,3,4,463527,"crude, wooden",embur_planks,,,axe 4
Tenanea Flowers,Flowered,betterendforge,16,fibre,4,1,3,96,2,4,78,0,0,a362b2,"crude, default",tenanea_flowers,eff enderReverb -6 -0.6,,cut 3
Glowing,Glowing,netheragriculture,16,wood,4,2.5,7.7,59,2,6,90,3,4,dda14e,"crude, wooden",glowing_planks,,,axe 4
Mossy Glowshroom,Mossy Glowshroom,betterendforge,16,wood,3.8,1.8,6.5,59,3,1,84,4,18,019c87,"crude, wooden",mossy_glowshroom_planks,eff unstable 15 0,,axe 6
Bulbis,Bulbis,byg,"16, 18, 19",wood,3,1.7,6,59,1,4,114,4,4,8e57ae,"crude, wooden",bulbis_planks,,,axe 4
Rainbow Eucalyptus,Rainbow Eucalyptus,byg,"16, 18, 19",wood,3,1.7,6.5,59,1,4,90,1,2,ab937e,"crude, wooden",rainbow_eucalyptus_planks,,,axe 2
Azalea,Azalea,quark,19,wood,3,1.5,6,59,1,5,102,1,2,bfc664,"crude, wooden",azalea_planks,,,axe 1
Palm,Palm,atum,16,wood,2.2,1.4,6,59,1,3,108,1,3,ab8556,"crude, wooden",palm_planks,,,axe 1
Palm,Palm,biomesoplenty,"16, 18, 19, 20",wood,2.2,1.4,6,59,1,3,108,1,3,ac7b39,"crude, wooden",palm_planks,,,axe 1
Palm,Palm,byg,"16, 18, 19",wood,2.2,1.4,6,59,1,3,108,1,3,a3906d,"crude, wooden",palm_planks,,,axe 1
Sythian,Sythian,byg,"16, 18, 19",wood,2,1.2,5,59,1,2,90,3,4,938126,"crude, wooden",sythian_planks,,,axe 4
Skyris,Skyris,byg,"16, 18, 19",wood,2.8,1,6,59,1,2,90,1,3,57798c,"crude, wooden",skyris_planks,,,axe 2
Aspen,Aspen,"byg, atmospheric","16, 18, 19",wood,2.8,1.6,6,48,1,4,96,1,2,"bf8c6d, c19a54","crude, wooden",aspen_planks,,,axe 1
Pine,Pine,byg,"16, 18, 19",wood,2.6,1.5,6,48,1,3,108,1,3,968b70,"crude, wooden",pine_planks,,,axe 1
Zelkova,Zelkova,byg,"16, 18, 19",wood,2.6,1.5,6,48,1,3,108,1,3,8c5d3a,"crude, wooden",zelkova_planks,,,axe 1
Fir,Fir,byg,"16, 18, 19",wood,2.6,1.5,6,48,1,3,108,1,3,9f8361,"crude, wooden",fir_planks,,,axe 1
Cika,Cika,byg,"16, 18, 19",wood,2.6,1.5,6,48,1,3,108,1,3,936331,"crude, wooden",cika_planks,,,axe 1
Jacaranda,Jacaranda,byg,"16, 18, 19",wood,2.6,1.5,6,48,1,3,108,1,3,966b6a,"crude, wooden",jacaranda_planks,,,axe 1
Fir,Fir,biomesoplenty,"16, 18, 19, 20",wood,2.6,1.5,6,48,1,3,108,1,3,988f77,"crude, wooden",fir_planks,,,axe 1
Jacaranda,Jacaranda,biomesoplenty,"16, 18, 19, 20",wood,2.6,1.5,6,48,1,3,108,1,3,baa39a,"crude, wooden",jacaranda_planks,,,axe 1
Driftwood,Driftwood,upgrade_aquatic,"16, 18, 19",wood,3,1.4,4,48,1,4,96,1,2,625c53,"crude, wooden",driftwood_planks,,,axe 1
Yucca,Yucca,atmospheric,"16, 18, 19",wood,3,1.4,4,48,1,4,90,1,2,976253,"crude, wooden",yucca_planks,,,axe 1
Bamboo,Bamboo,bamboo_blocks,16,wood,2.2,1.4,7.2,48,2,2,90,1,3,bb9a4c,"crude, wooden",bamboo_planks,,,axe 1
Willow,Willow,byg,"16, 18, 19",wood,2,1.2,7,48,1,2,108,1,3,576832,"crude, wooden",willow_planks,,,axe 1
Willow,Willow,environmental,"16, 18, 19",wood,2,1.2,7,48,1,2,108,1,3,5c7444,"crude, wooden",willow_planks,,,axe 1
Willow,Willow,biomesoplenty,"16, 18, 19, 20",wood,2,1.2,7,48,1,2,108,1,3,899470,"crude, wooden",willow_planks,,,axe 1
Eternal Crystal,Eternal Crystal,betterendforge,16,gem,7.6,1.2,0,5,8,1,180,8,10,8ffff6,"shiny, crude",eternal_crystal,eff intuit 3 0,imp arrested 0 0,hammer 7
Plasma,Plasma,deep_dark_regrowth,"19, 20",metal,1,0.4,0,16384,1,6,1,6,20,a3ffff,"shiny, default",plasma,eff unbreaking 100 0,imp arrested 0 0,hammer 6
Eternium,Eternium,l2complements,"19, 20",metal,6,2.9,4,9999,2,6,6,6,8,696ef7,"shiny, metal, default",eternium_ingot,,,hammer 6
Netherite Opal,Netherite Opal,oresabovediamond,"16, 18, 19, 20",gem,9,3.5,0,6300,2,4,120,7,16,210a2d,"crude, default",,,,hammer 7
Black Opal,Black Opal,oresabovediamond,"16, 18, 19, 20",gem,8,2.9,0,5250,2,2,90,7,16,3b2361,"crude, default",black_opal,,,hammer 5
Astral Crystal,Astral,voidscape,"16, 18, 19, 20",gem,12,2.6,0,4550,3,2,150,11,11.5,c24cab,"shiny, crude",astral_crystal,eff skewering 3 10,,hammer 7
Calorite,Calorite,ad_astra,"18, 19, 20",metal,8,6.5,2.4,4096,2,7,60,6,9,cb4e4f,"heavy, metal, default",calorite_ingot,eff stun 15 2,,hammer 6
Ichor,Ichor,voidscape,"16, 18, 19, 20",gem,11,3.8,0,4047,3,2,138,10,11,fda14b,"shiny, crude",ichor_crystal,eff skewering 2 5,,hammer 7
Shulkerate,Shulkerate,l2complements,"19, 20",metal,6,2.7,4,4000,2,6,84,5,8,976997,"crude, default",shulkerate_ingot,"eff unbreaking 1 0, eff reaching 10 0.45",,hammer 6
Violium,Violium,ms,"16, 18, 19, 20",metal,13.5,3.9,3,3891,4,6,180,5,13.8,853ce0,"metal, default",gem/violium_ingot,eff stabilizing 10 0,,hammer 7
