 Item ID,ignore Add-On, Mod ID, Replacement Type, Versions, Tool Set, Material, Handle Material, Improvements
skyjade_shovel,AT,deep_aether,shovel,"19, 20",deep_aether_skyjade,deep_aether_skyjade,aether_skyroot,single/head aetheric_tetranomicon/aetheric 0
skyjade_sword,AT,deep_aether,sword,"19, 20",deep_aether_skyjade,deep_aether_skyjade,aether_skyroot,sword/blade aetheric_tetranomicon/aetheric 0
skyroot_axe,AT,aether,axe,"19, 20",aether_skyroot,aether_skyroot,aether_skyroot,"double/head_left aetheric_tetranomicon/harvester 0, double/head_left aetheric_tetranomicon/aetheric 0"
skyroot_hoe,AT,aether,hoe,"19, 20",aether_skyroot,aether_skyroot,aether_skyroot,"double/head_left aetheric_tetranomicon/harvester 0, double/head_left aetheric_tetranomicon/aetheric 0"
skyroot_pickaxe,AT,aether,pick,"19, 20",aether_skyroot,aether_skyroot,aether_skyroot,"double/head_left aetheric_tetranomicon/harvester 0, double/head_right aetheric_tetranomicon/harvester 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
skyroot_shovel,AT,aether,shovel,"19, 20",aether_skyroot,aether_skyroot,aether_skyroot,"single/head aetheric_tetranomicon/harvester 0, single/head aetheric_tetranomicon/aetheric 0"
skyroot_sword,AT,aether,sword,"19, 20",aether_skyroot,aether_skyroot,aether_skyroot,"sword/blade aetheric_tetranomicon/harvester 0, sword/blade aetheric_tetranomicon/aetheric 0"
stratus_axe,AT,deep_aether,axe,"19, 20",deep_aether_stratus,deep_aether_stratus,aether_skyroot,"double/head_left aetheric_tetranomicon/levitator_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
stratus_hoe,AT,deep_aether,hoe,"19, 20",deep_aether_stratus,deep_aether_stratus,aether_skyroot,"double/head_left aetheric_tetranomicon/levitator_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
stratus_pickaxe,AT,deep_aether,pick,"19, 20",deep_aether_stratus,deep_aether_stratus,aether_skyroot,"double/head_left aetheric_tetranomicon/levitator_tool 0, double/head_right aetheric_tetranomicon/levitator_tool 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
stratus_shovel,AT,deep_aether,shovel,"19, 20",deep_aether_stratus,deep_aether_stratus,aether_skyroot,"single/head aetheric_tetranomicon/levitator_tool 0, single/head aetheric_tetranomicon/aetheric 0"
stratus_sword,AT,deep_aether,sword,"19, 20",deep_aether_stratus,deep_aether_stratus,aether_skyroot,"sword/blade aetheric_tetranomicon/levitator_weapon 0, sword/blade aetheric_tetranomicon/aetheric 0"
valkyrie_axe,AT,aether,axe,"19, 20",aether_valkyrie,aether_valkyrie,aether_skyroot,"double/head_left aetheric_tetranomicon/valkyrie_half 0, double/head_right aetheric_tetranomicon/valkyrie_half 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
valkyrie_hoe,AT,aether,hoe,"19, 20",aether_valkyrie,aether_valkyrie,aether_skyroot,"double/head_left aetheric_tetranomicon/valkyrie_half 0, double/head_right aetheric_tetranomicon/valkyrie_half 0, double/head_left aetheric_tetranomicon/aetheric 0"
valkyrie_lance,AT,aether,sword,"19, 20",aether_valkyrie,aether_valkyrie,aether_skyroot,"sword/blade aetheric_tetranomicon/valkyrie_whole 0, sword/blade aetheric_tetranomicon/aetheric 0"
valkyrie_pickaxe,AT,aether,pick,"19, 20",aether_valkyrie,aether_valkyrie,aether_skyroot,"double/head_left aetheric_tetranomicon/valkyrie_half 0, double/head_right aetheric_tetranomicon/valkyrie_half 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
valkyrie_shovel,AT,aether,shovel,"19, 20",aether_valkyrie,aether_valkyrie,aether_skyroot,"single/head aetheric_tetranomicon/valkyrie_whole 0, single/head aetheric_tetranomicon/aetheric 0"
veridium_axe,AT,aether_redux,axe,"19, 20",aether_redux_veridium,aether_redux_veridium,aether_skyroot,"double/head_left aetheric_tetranomicon/aetheric 0, double/head_left aetheric_tetranomicon/veridium_infusable 0"
veridium_hoe,AT,aether_redux,hoe,"19, 20",aether_redux_veridium,aether_redux_veridium,aether_skyroot,"double/head_left aetheric_tetranomicon/aetheric 0, double/head_left aetheric_tetranomicon/veridium_infusable 0"
veridium_pickaxe,AT,aether_redux,pick,"19, 20",aether_redux_veridium,aether_redux_veridium,aether_skyroot,"double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0, double/head_left aetheric_tetranomicon/veridium_infusable 0, double/head_right aetheric_tetranomicon/veridium_infusable 0"
veridium_shovel,AT,aether_redux,shovel,"19, 20",aether_redux_veridium,aether_redux_veridium,aether_skyroot,"single/head aetheric_tetranomicon/aetheric 0, single/head aetheric_tetranomicon/veridium_infusable 0"
veridium_sword,AT,aether_redux,sword,"19, 20",aether_redux_veridium,aether_redux_veridium,aether_skyroot,"sword/blade aetheric_tetranomicon/aetheric 0, sword/blade aetheric_tetranomicon/veridium_infusable 0"
zanite_axe,AT,aether,axe,"19, 20",aether_zanite,aether_zanite,aether_skyroot,"double/head_left aetheric_tetranomicon/tenacity_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
zanite_hoe,AT,aether,hoe,"19, 20",aether_zanite,aether_zanite,aether_skyroot,"double/head_left aetheric_tetranomicon/tenacity_tool 0, double/head_left aetheric_tetranomicon/aetheric 0"
zanite_pickaxe,AT,aether,pick,"19, 20",aether_zanite,aether_zanite,aether_skyroot,"double/head_left aetheric_tetranomicon/tenacity_tool 0, double/head_right aetheric_tetranomicon/tenacity_tool 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
zanite_shovel,AT,aether,shovel,"19, 20",aether_zanite,aether_zanite,aether_skyroot,"single/head aetheric_tetranomicon/tenacity_tool 0, single/head aetheric_tetranomicon/aetheric 0"
zanite_sword,AT,aether,sword,"19, 20",aether_zanite,aether_zanite,aether_skyroot,"sword/blade aetheric_tetranomicon/tenacity_weapon 0, sword/blade aetheric_tetranomicon/aetheric 0"
valkyrum_axe,AT,ancient_aether,axe,"19, 20",ancient_aether_valkyrum,ancient_aether_valkyrum,aether_skyroot,"double/head_left aetheric_tetranomicon/valkyrie_half 0, double/head_right aetheric_tetranomicon/valkyrie_half 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
valkyrum_hoe,AT,ancient_aether,hoe,"19, 20",ancient_aether_valkyrum,ancient_aether_valkyrum,aether_skyroot,"double/head_left aetheric_tetranomicon/valkyrie_half 0, double/head_right aetheric_tetranomicon/valkyrie_half 0, double/head_left aetheric_tetranomicon/aetheric 0"
valkyrum_sword,AT,ancient_aether,sword,"19, 20",ancient_aether_valkyrum,ancient_aether_valkyrum,aether_skyroot,"sword/blade aetheric_tetranomicon/valkyrie_whole 0, sword/blade aetheric_tetranomicon/aetheric 0"
valkyrum_lance,AT,ancient_aether,sword,"19, 20",ancient_aether_valkyrum,ancient_aether_valkyrum,aether_skyroot,"sword/blade aetheric_tetranomicon/valkyrie_whole 0, sword/blade aetheric_tetranomicon/aetheric 0"
valkyrum_pickaxe,AT,ancient_aether,pick,"19, 20",ancient_aether_valkyrum,ancient_aether_valkyrum,aether_skyroot,"double/head_left aetheric_tetranomicon/valkyrie_half 0, double/head_right aetheric_tetranomicon/valkyrie_half 0, double/head_left aetheric_tetranomicon/aetheric 0, double/head_right aetheric_tetranomicon/aetheric 0"
valkyrum_shovel,AT,ancient_aether,shovel,"19, 20",ancient_aether_valkyrum,ancient_aether_valkyrum,aether_skyroot,"single/head aetheric_tetranomicon/valkyrie_whole 0, single/head aetheric_tetranomicon/aetheric 0"
